Treefile,Ablength,Treelength,Markers,Relative_AB
fast100.phy.treefile,0.369423905,435.4926229,100,0.00084829
fast20.phy.treefile,0.693668354,388.6373901,20,0.001784873
fast25.phy.treefile,0.817474609,403.9390957,25,0.002023757
fast30.phy.treefile,0.773450655,412.1525285,30,0.001876613
fast35.phy.treefile,0.74383305,416.2226077,35,0.001787104
fast40.phy.treefile,0.711799645,415.7665806,40,0.001712017
fast45.phy.treefile,0.566348186,425.3818533,45,0.001331388
fast50.phy.treefile,0.561519993,424.1081612,50,0.001324002
fast55.phy.treefile,0.545792922,432.2995821,55,0.001262534
fast60.phy.treefile,0.589805214,428.9339785,60,0.001375049
fast65.phy.treefile,0.501609826,430.3346111,65,0.001165627
fast70.phy.treefile,0.455223391,432.814683,70,0.001051774
fast75.phy.treefile,0.459569502,429.0581546,75,0.001071112
fast80.phy.treefile,0.431854907,428.35975,80,0.001008159
fast85.phy.treefile,0.443642533,431.2307533,85,0.001028782
fast90.phy.treefile,0.40722462,437.0375186,90,0.000931784
fast95.phy.treefile,0.383148825,436.462476,95,0.000877851
